CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A101;A102;A104;A105;A106;A107;A107_09;A108;A109;A110;G101;G102;G103;G104;IL02_CP;IL02;C103;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
26;;;base;interview;30/03/2022 21:23;22;Female;Italy;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;Only residence permit;Somewhat agree;Completely agree;Neither agree nor disagree;Somewhat agree;3;Control group;I agree;2;10;33;24;;25;94;;30/03/2022 21:24;1;0;6;6;0;0;1.11;9
28;;;base;interview;30/03/2022 21:23;33;Female;United States;Employed Part-time;Bachelor's Degree;Two or More;;Yes;Private;None of the above;Completely agree;Completely agree;Completely disagree;Completely disagree;4;Group 1;I agree;7;20;21;18;54;36;156;;30/03/2022 21:26;1;0;6;6;0;0;0.81;4
30;;;base;interview;30/03/2022 21:24;41;Female;Brazil;Employed Full-time;Master's Degree;Latino or Hispanic;;No;Private;None of the above;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;Somewhat disagree;4;Group 2;I agree;5;7;30;28;2;349;108;;30/03/2022 21:31;1;0;6;6;0;0;1.11;86
33;;;base;interview;30/03/2022 21:25;30;Female;Brazil;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Completely agree;Neither agree nor disagree;Somewhat agree;4;Control group;I agree;3;5;21;23;;85;137;;30/03/2022 21:28;1;0;6;6;0;0;1.08;10
34;;;base;interview;30/03/2022 21:26;26;Female;Brazil;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;Only residence permit;Somewhat agree;Completely agree;Completely disagree;Somewhat agree;5;Group 1;I agree;1;5;21;23;7;49;106;;30/03/2022 21:28;1;0;6;6;0;0;1.79;50
35;;;base;interview;30/03/2022 21:27;32;Male;Colombia;Unemployed;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Neither agree nor disagree;Completely agree;Completely agree;5;Control group;I agree;8;22;27;15;;30;102;;30/03/2022 21:28;1;0;6;6;0;0;0.88;7
36;;;base;interview;30/03/2022 21:27;28;Male;Colombia;Unemployed;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Completely agree;Completely agree;Neither agree nor disagree;Somewhat agree;5;Group 2;I agree;2;11;18;14;55;26;126;;30/03/2022 21:29;1;0;6;6;0;0;1.2;16
37;;;base;interview;30/03/2022 21:27;26;Female;Spain;Employed Part-time;Master's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Completely agree;Somewhat disagree;Somewhat agree;6;Group 1;I agree;2;4;17;13;28;32;96;;30/03/2022 21:29;1;0;6;6;0;0;1.52;26
39;;;base;interview;30/03/2022 21:28;33;Male;France;Employed Full-time;Master's Degree;Caucasian/White;;No;Not answered;Not answered;;;;;;;I agree;7;18;17;26;;;68;;30/03/2022 21:29;0;0;4;4;20;20;0.83;7
40;;;base;interview;30/03/2022 21:28;24;Female;India;Employed Full-time;Bachelor's Degree;South Asian;;Yes;Private;Student visa and residence permit;Somewhat agree;Somewhat agree;Completely agree;Completely agree;6;Control group;I agree;2;12;32;15;;30;91;;30/03/2022 21:30;1;0;6;6;0;0;1.15;12
